
0.00051,1,0.99808,0.91332,0,0.00602,0.92233,Director, Other, incorrect
0.22676,0.99659,0.96448,0.92818,0.0089,0.04881,0.73162,Director, Other, incorrect
1.0E-5,1,0.99849,0.99999,0,0.00247,0.45868,Director, Other, incorrect
0.00842,1,0.99753,0.99985,0,0.00077,0.5045,Director, Other, incorrect
0.14891,1,0.99203,0.9943,5.0E-5,0.00204,0.83859,Director, Director, correct
0.01405,1,0.99999,0.99361,0,0.00051,0.70664,Director, Director, correct
0,1,1,0.99957,0,5.0E-5,0,Vice President, Vice President, correct
0.03452,0.99992,0.95572,0.93634,0.22607,0.01572,0.41479,Director, Vice President, incorrect
0.0513,0.99345,0.93087,0.96874,0.00949,0.04563,0.76488,Director, Other, incorrect
0.00083,1,1,0.99985,1.0E-5,0.00159,0.02409,Director, Other, incorrect
0.35864,0.98484,0.97908,0.96633,0.00425,0.03385,0.69523,Director, Other, incorrect
0.25249,0.99996,0.99697,0.98411,0.00021,0.00761,0.54382,Director, Other, incorrect
0,1,1,0.62321,0,0.00087,0.12328,Director, Other, incorrect
0.08724,0.99999,0.99136,0.99989,0.00056,0.00455,0.88471,Director, Other, incorrect
0.00412,1,0.99414,0.98999,0.00048,0.00316,0.33778,Director, Other, incorrect
0.24784,0.99961,0.99955,0.95581,2.0E-5,0.00712,0.82947,Director, Other, incorrect
0,0.99998,0.99988,0.99976,0,0.01642,0.70119,Director, Other, incorrect
2.0E-5,1,0.99857,0.99977,0,0.00337,0.7212,Director, Other, incorrect
0,1,1,0.99998,0,0.00019,0.01133,Director, Other, incorrect
0.00205,0.99979,0.89416,0.94786,0.00182,0.0145,0.96365,Director, Other, incorrect
0.10121,1,0.99834,0.98377,4.0E-5,0.00157,0.75134,Director, Other, incorrect
0.03868,0.99955,0.97209,0.92707,0.00449,0.02198,0.88076,Director, Other, incorrect
0,1,0.99999,1,0,0.00037,0.07157,Director, Other, incorrect
0.04028,1,0.98322,0.99143,0.00037,0.00508,0.82214,Director, Other, incorrect
0.32673,1,0.99974,0.99578,5.0E-5,0.00369,0.05395,Director, Other, incorrect
0.01517,1,0.99628,0.99199,4.0E-5,0.00752,0.57549,Director, Other, incorrect
0.00719,0.99993,0.99598,0.9838,6.0E-5,0.00793,0.91349,Director, Other, incorrect
0.00876,0.99999,0.99236,0.98526,2.0E-5,0.00259,0.95417,Director, Other, incorrect
0,1,0.99998,0.99944,0,0.00014,0.8317,Director, Other, incorrect
0.00664,1,0.99894,0.86995,0,0.01168,0.93914,Director, Other, incorrect
0.02141,1,0.99504,0.99782,0.00014,0.00399,0.84863,Director, Other, incorrect
0.00173,1,0.99894,0.9989,0,0.00375,0.94575,Director, Other, incorrect
0.00226,1,0.99929,0.99998,0,0.00636,0.86818,Director, Other, incorrect
0.07786,0.95626,0.99967,0.70163,0,0.00155,0.93877,Vice President, Other, incorrect
0.05258,0.99982,0.99712,0.97561,0.00034,0.01743,0.74,Director, Other, incorrect
0.00138,1,0.99951,0.99351,0,0.0049,0.94228,Director, Other, incorrect
0,1,0.99997,1,0,0.0007,0.38922,Trader, Other, incorrect
0.10854,0.9996,0.9229,0.9937,0.00588,0.02464,0.85526,Director, Other, incorrect
0.00012,1,0.99999,0.52121,0,0.0016,0.55723,Director, Other, incorrect
0.00748,1,1,1,0,0.00096,0.01624,Director, Other, incorrect
0.05328,0.99648,0.96179,0.96511,0.00781,0.04118,0.7922,Director, Other, incorrect
1.0E-5,1,0.99882,0.99968,0,0.00371,0.70532,Director, Other, incorrect
0.02927,1,0.99909,0.99974,1.0E-5,0.00398,0.35108,Director, Other, incorrect
0.00051,1,0.99945,0.99969,8.0E-5,0.00848,0.44434,Director, Other, incorrect
0.07879,1,0.99862,0.9769,4.0E-5,0.00173,0.73655,Director, Other, incorrect
0,1,1,0.99996,0,9.0E-5,0.30431,Director, Other, incorrect
0.68234,0.99441,0.99196,0.99206,0.00034,0.01772,0.8511,Director, Other, incorrect
0.00049,1,1,0.9998,1.0E-5,0.00127,0.04341,Director, Other, incorrect
0.01459,0.99982,0.97167,0.99483,0.00035,0.00518,0.96386,Director, Other, incorrect
0.00443,0.99991,0.9996,0.95451,1.0E-5,0.0107,0.8689,Director, Other, incorrect
0.0008,1,1,0.868,0,0.00729,0.22616,Director, Other, incorrect
0,1,1,1,0,0,2.0E-5,Director, Other, incorrect
0.00042,1,0.99382,0.99999,0,0.00678,0.89682,Director, Other, incorrect
0,1,1,1,0,0,0,Director, Other, incorrect
0,1,0.99983,0.99934,0,0.00789,0.71394,Director, Other, incorrect
0.68041,1,0.99308,0.99723,9.0E-5,0.01579,0.81752,Director, Other, incorrect
0.01121,1,0.99996,0.99889,1.0E-5,0.00065,0.5969,Director, Other, incorrect
0.00012,1,0.87519,0.99998,6.0E-5,0.00321,0.93077,Director, Other, incorrect
0.00047,1,0.98928,0.99999,0,0.00986,0.5463,Director, Other, incorrect
0.02674,0.99994,0.98384,0.94235,0.00023,0.01057,0.90813,Director, Other, incorrect
6.0E-5,1,0.9624,0.99972,0,0.00218,0.93588,Director, Other, incorrect
0,1,1,1,0,1.0E-5,0.00013,Director, Other, incorrect
0.00123,1,0.99954,0.9993,0,0.00435,0.43211,Director, Other, incorrect
0.00037,1,1,0.99726,0,0.00157,0.24598,Director, Other, incorrect
0.00011,1,0.99875,0.91115,0,0.00545,0.97548,Director, Other, incorrect
7.0E-5,1,0.99838,0.98637,2.0E-5,0.0004,0.14397,Director, Other, incorrect
0.00082,0.99995,0.99818,0.99673,2.0E-5,0.0024,0.78292,Director, Other, incorrect
0.04043,1,0.99627,0.97749,0,0.01233,0.93533,Director, Other, incorrect
0.50229,0.99976,0.96876,0.98888,0.00099,0.01888,0.85528,Director, Other, incorrect
0.00138,1,1,0.9476,0,0.00041,0.53591,Director, Other, incorrect
0.0737,0.99995,0.91563,0.9988,0.00079,0.02713,0.7656,Director, Other, incorrect
0.00013,1,0.99284,0.99999,0,0.00044,0.16542,Director, Other, incorrect
0,1,0.99586,1,0,0.00015,0.6685,Director, Other, incorrect
0.0001,1,0.99803,0.99916,0,0.00667,0.89563,Director, Other, incorrect
5.0E-5,1,0.99999,0.99564,0,0.00269,0.11927,Director, Other, incorrect
0.00268,1,0.98968,0.99223,3.0E-5,0.00318,0.98105,Director, Other, incorrect
0.00045,1,0.99779,0.99993,0,0.00154,0.97242,Director, Other, incorrect
0,1,0.99963,0.99875,0,0.0026,0.69009,Director, Other, incorrect
0.04588,1,0.99958,0.99557,0,0.00527,0.56546,Director, Other, incorrect
0.00999,1,0.99611,0.99994,0,0.00261,0.93567,Director, Other, incorrect
5.0E-5,1,0.99916,0.98143,1.0E-5,0.00332,0.93783,Director, Other, incorrect
0,1,1,0.98491,0,0.0005,0.69441,Director, Other, incorrect
0.03834,0.99994,0.99782,0.99805,0.0001,0.00371,0.90044,Director, Other, incorrect
0.02136,1,1,0.99997,0,0.00379,0.07001,Vice President, Other, incorrect
0.00189,1,1,0.98494,0,0.00189,0.04286,Director, Other, incorrect
0,1,0.99999,0.99904,0,0.00347,0.02895,Director, Other, incorrect
0.2227,0.99997,0.97206,0.83282,0.00458,0.02443,0.72567,Director, Other, incorrect
0.01535,0.99954,0.99598,0.99971,1.0E-5,0.00083,0.94251,Trader, Other, incorrect
0.17999,0.99982,0.99543,0.96127,0.00248,0.00699,0.84278,Director, Other, incorrect
